1608325,2019-10-31
1513902,2019-11-24
1560272,2019-12-18
1588603,2020-01-03
1583308,2020-01-08
1565678,2020-01-16
1658951,2020-01-18
1666318,2020-01-21
1589551,2020-02-15
1693048,2020-03-04
1684157,2020-03-15
1716568,2020-03-22
1722779,2020-04-02
1767735,2020-04-14
1789304,2020-04-19
1868409,2020-04-24
1375409,2020-06-10
1436614,2020-06-30
1410607,2020-07-10
1417196,2020-07-11
1434960,2020-07-20
1363828,2020-08-02
1359276,2020-08-09
1410776,2020-08-21
1031953,2020-09-05
1096031,2020-09-17
1262889,2020-10-15
1219950,2020-11-26
1150443,2020-12-19
1147561,2020-12-28
1158272,2021-01-03
1167995,2021-01-07
1270465,2021-02-12
1394430,2021-04-15
1402028,2021-05-02
1806059,2021-08-09
1837049,2021-08-20
1838205,2021-08-22
563373,2021-09-10
566422,2021-09-16
548181,2022-04-16
588581,2022-05-02
619511,2022-05-03
643813,2022-05-04
591223,2022-05-05
610428,2022-05-06
573907,2022-05-07
648327,2022-05-08
601948,2022-05-09
605118,2022-05-10
594671,2022-05-11
594671,2022-05-12
594671,2022-05-13
651167,2022-05-14
446979,2022-05-15
446979,2022-05-16
446979,2022-05-17
446979,2022-05-18
446978,2022-05-19
682558,2022-05-20
677469,2022-05-21
676146,2022-05-22
646183,2022-05-23
678599,2022-05-25
644881,2022-05-26
636575,2022-05-27
689777,2022-05-28
668534,2022-05-29
663010,2022-05-30
664865,2022-05-31
434080,2022-06-08
624171,2022-06-09
530761,2022-06-10
505471,2022-06-11
142821,2022-06-28
619000,2022-06-30
609275,2022-07-07
632233,2022-07-08
628474,2022-07-09
623118,2022-07-10
624370,2022-07-11
616586,2022-07-12
594801,2022-07-13
627243,2022-07-14
621641,2022-07-15
620421,2022-07-16
589026,2022-07-17
623738,2022-07-18
620925,2022-07-19
615249,2022-07-20
609877,2022-07-21
616128,2022-07-22
599546,2022-07-23
603595,2022-07-24
592706,2022-07-25
608086,2022-07-26
597486,2022-07-27
597670,2022-07-28
606102,2022-07-29
577090,2022-07-30
603944,2022-07-31
2801593,2022-08-03
2838361,2022-08-04
2211122,2022-08-05
2714473,2022-08-06
2200611,2022-08-07
1143776,2022-08-08
1171184,2022-08-09
3208545,2022-08-10
2817756,2022-08-11
1144391,2022-08-12
2794640,2022-08-13
3294695,2022-08-14
1146011,2022-08-15
1710860,2022-08-16
1141946,2022-08-17
1630973,2022-08-18
3339003,2022-08-19
1940119,2022-08-20
2070679,2022-08-21
1587814,2022-08-22
3301653,2022-08-23
2868460,2022-08-24
1544969,2022-08-25
1662449,2022-08-26
2841976,2022-08-27
1093222,2022-08-28
1669713,2022-08-29
2237216,2022-08-30
3124697,2022-08-31
599453,2022-09-04
599783,2022-09-05
582866,2022-09-06
573391,2022-09-07
575537,2022-09-08
509666,2022-09-09
612654,2022-09-10
546461,2022-09-11
608254,2022-09-12
603973,2022-09-13
605887,2022-09-14
520629,2022-09-16
609122,2022-09-17
592105,2022-09-18
608800,2022-09-19
611138,2022-09-20
610361,2022-09-21
604831,2022-09-22
607680,2022-09-23
603785,2022-09-24
614351,2022-09-25
615668,2022-09-26
611287,2022-09-27
570444,2022-09-28
622905,2022-09-29
619350,2022-09-30
606999,2022-10-01
642904,2022-10-02
645337,2022-10-03
641926,2022-10-04
636632,2022-10-05
649557,2022-10-06
653061,2022-10-07
646049,2022-10-08
653801,2022-10-09
650597,2022-10-10
660125,2022-10-11
665436,2022-10-12
622203,2022-10-13
672867,2022-10-14
665666,2022-10-15
667442,2022-10-16
676169,2022-10-17
678424,2022-10-18
679472,2022-10-19
680256,2022-10-20
676120,2022-10-21
682438,2022-10-22
682057,2022-10-23
562840,2022-10-24
667869,2022-10-25
682544,2022-10-30
689077,2022-10-31
693503,2022-11-01
694730,2022-11-02
696689,2022-11-03
693201,2022-11-04
719653,2022-11-05
721932,2022-11-06
722039,2022-11-07
698160,2022-11-08
697734,2022-11-09
701515,2022-11-10
709233,2022-11-11
709866,2022-11-12
705592,2022-11-13
705533,2022-11-14
708843,2022-11-15
706641,2022-11-16
740946,2022-11-17
744848,2022-11-18
739538,2022-11-19
721591,2022-11-20
726996,2022-11-21
719850,2022-11-22
722275,2022-11-23
721669,2022-11-24
722616,2022-11-25
722094,2022-11-26
722851,2022-11-27
722128,2022-11-28
718512,2022-11-29
749301,2022-11-30
759006,2022-12-01
751824,2022-12-02
726381,2022-12-03
726153,2022-12-04
728002,2022-12-05
728757,2022-12-06
729950,2022-12-07
730779,2022-12-08
734506,2022-12-09
699655,2022-12-10
700352,2022-12-11
695600,2022-12-12
701456,2022-12-13
705285,2022-12-14
710881,2022-12-15
711490,2022-12-16
711638,2022-12-17
713990,2022-12-18
713167,2022-12-19
717097,2022-12-20
719223,2022-12-21
722052,2022-12-22
723195,2022-12-23
726332,2022-12-24
719261,2022-12-25
722595,2022-12-26
723057,2022-12-27
724304,2022-12-28
720635,2022-12-29
719578,2022-12-30
701383,2022-12-31
1404462,2023-01-01
1400032,2023-01-02
1397618,2023-01-03
1400116,2023-01-04
1404034,2023-01-05
1389030,2023-01-06
1394248,2023-01-07
1392200,2023-01-08
1379898,2023-01-09
1385906,2023-01-10
1375076,2023-01-11
1365852,2023-01-12
683119,2023-01-13
683794,2023-01-14
685706,2023-01-15
687016,2023-01-16
688715,2023-01-17
688036,2023-01-18
689320,2023-01-19
689265,2023-01-20
692183,2023-01-21
690142,2023-01-22
693785,2023-01-23
692879,2023-01-24
694800,2023-01-25
693882,2023-01-26
706806,2023-01-27
707624,2023-01-28
719372,2023-01-29
717887,2023-01-30
716296,2023-01-31
715947,2023-02-01
717151,2023-02-02
715924,2023-02-03
713833,2023-02-04
717811,2023-02-05
715832,2023-02-06
717163,2023-02-07
716503,2023-02-08
722124,2023-02-09
714972,2023-02-10
716263,2023-02-11
715601,2023-02-12
718894,2023-02-13
718304,2023-02-14
717725,2023-02-15
715075,2023-02-16
714631,2023-02-17
719664,2023-02-18
724224,2023-02-19
726758,2023-02-20
726828,2023-02-21
722051,2023-02-22
735272,2023-02-23
729819,2023-02-24
724298,2023-02-25
599807,2023-02-26
724684,2023-02-27
727711,2023-02-28
736977,2023-03-01
722431,2023-03-02
728148,2023-03-03
728044,2023-03-04
728698,2023-03-05
732975,2023-03-06
708095,2023-03-07
709560,2023-03-20
709560,2023-03-21
707455,2023-03-22
713030,2023-03-23
718650,2023-03-24
711951,2023-03-25
714001,2023-03-26
714964,2023-03-27
715192,2023-03-28
722425,2023-03-29
714949,2023-03-30
716948,2023-03-31
714830,2023-04-01
718057,2023-04-02
718468,2023-04-03
718337,2023-04-04
725872,2023-04-05
731309,2023-04-06
720352,2023-04-07
722570,2023-04-08
723124,2023-04-09
723642,2023-04-10
725416,2023-04-11
725719,2023-04-12
730421,2023-04-13
724971,2023-04-14
725096,2023-04-15
723105,2023-04-16
729993,2023-04-17
724265,2023-04-18
725003,2023-04-19
725141,2023-04-20
732059,2023-04-21
729544,2023-04-22
735822,2023-04-23
728384,2023-04-24
730842,2023-04-25
729108,2023-04-26
729020,2023-04-27
727858,2023-04-28
726886,2023-04-29
728582,2023-04-30
729379,2023-05-01
728547,2023-05-02
728769,2023-05-03
729732,2023-05-04
728323,2023-05-05
728155,2023-05-06
728457,2023-05-07
728272,2023-05-08
728589,2023-05-09
727972,2023-05-10
729767,2023-05-11
728686,2023-05-12
638055,2023-05-13
641304,2023-05-14
729517,2023-05-15
736185,2023-05-16
740982,2023-05-17
728864,2023-05-18
699970,2023-07-30
697637,2023-07-31
699887,2023-08-01
706007,2023-08-02
708927,2023-08-03
711624,2023-08-04
712601,2023-08-05
714832,2023-08-06
716170,2023-08-07
717791,2023-08-08
720939,2023-08-10
721675,2023-08-11
721451,2023-08-12
721447,2023-08-13
719869,2023-08-14
718401,2023-08-15
718204,2023-08-16
717670,2023-08-17
718677,2023-08-18
719147,2023-08-21
719143,2023-08-22
719178,2023-08-23
718598,2023-08-24
718349,2023-08-25
717983,2023-08-26
718037,2023-08-27
717680,2023-08-28
717515,2023-08-29
714271,2023-08-30
685071,2023-08-31
710663,2023-09-01
710928,2023-09-02
710102,2023-09-04
709616,2023-09-05
708553,2023-09-06
652401,2023-09-07
708106,2023-09-08
711958,2023-09-12
713441,2023-09-13
712370,2023-09-14
713676,2023-09-15
715161,2023-09-16
715161,2023-09-17
717700,2023-09-18
718275,2023-09-19
713341,2023-09-20
715467,2023-09-21
715384,2023-09-22
715981,2023-09-23
716217,2023-09-24
715948,2023-09-25
688393,2023-09-26
730410,2023-09-27
704035,2023-09-28
733173,2023-09-29
733069,2023-09-30
733204,2023-10-01
733745,2023-10-02
734178,2023-10-03
734836,2023-10-04
734772,2023-10-05
735130,2023-10-06
735171,2023-10-07
735893,2023-10-08
735148,2023-10-09
744906,2023-10-10
745277,2023-10-11
744789,2023-10-12
745065,2023-10-13
747264,2023-10-14
707661,2023-10-15
745492,2023-10-16
747258,2023-10-17
747284,2023-10-18
748182,2023-10-19
747101,2023-10-20
747579,2023-10-21
746567,2023-10-22
748138,2023-10-23
748729,2023-10-24
747646,2023-10-25
749610,2023-10-26
751116,2023-10-27
750180,2023-10-28
747963,2023-10-29
754262,2023-10-30
754187,2023-10-31
748987,2023-11-01
751961,2023-11-02
750882,2023-11-03
752176,2023-11-04
750285,2023-11-05
747849,2023-11-06
750494,2023-11-07
750741,2023-11-08
748882,2023-11-09
749562,2023-11-10
724964,2023-11-11
751116,2023-11-13
750987,2023-11-14
750798,2023-11-15
751946,2023-11-16
752294,2023-11-17
722416,2023-11-18
