00089bb24f104fd4233ad6d844d46121a09a6f7aabb4e5d82629ab4b8149b588, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2018
000587fab6bdd8c79a5ccc6a0d14a73e98846f49e5d4f482344a104d438e274c, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
000b46208f591c22b5c869e695f5ee0ad13fc7958e1424905be51f1e859291d6, Hoax, Win32, FlashApp, HEUR:Hoax.Win32.FlashApp.a, 2011
000b7f7fe8d9216798b0a00fb6d13e43def4ed5285875317b26018cca0e1eab1, Backdoor, Win32, Shark, Backdoor.Win32.Shark.cdm, 2010
0001b9c1d8bacd7be40ceb43d46cc2e66e51faf7323bb7cbed508642137a00e9, Trojan-Proxy, Win32, Delf, Trojan-Proxy.Win32.Delf.an, 2013
000b30e4c8dae7d97b0fc324e0b12f743d5791c3844d8523a3c2ebb0b6722d0b, PSWTool, Win32, IEPassView, not-a-virus:PSWTool.Win32.IEPassView.cg, 2012
000e2a1303ad010617081c29b29a71349e8c340cabbae6867814883849ca2f04, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2015
0004107b2cff7b39bd566e1576f920d62a7ba59c6b3886974fed660524923fdd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014
000152c3f630459e35b96bb4d79006d88fc34b141415ab5a0f5e04d4b16b139c, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2017
000f7b66f0f9351b1cd0edde3804be4c02b26111dc3c3d2f98390b9264815f30, Trojan, Win32, Vilsel, Trojan.Win32.Vilsel.bpxe, 2013
000d29031b5a47df9c0a0e0cf2bfaf15f9f03e1ebad44fd22e9d3bf752751332, Trojan, JS, Iframe, Trojan.JS.Iframe.ajo, 2018
0004c8d162f4dc79b03a9749d22a578adb119b184d7902deab5cefde43a9c04e, Trojan-Downloader, Win32, Adload, HEUR:Trojan-Downloader.Win32.Adload.gen, 2014
0007194c643b43703b75f9bdc78ea35e2ab8ba87f0533553ad1b1a8c87925d17, Trojan-Ransom, Win32, Wanna, Trojan-Ransom.Win32.Wanna.m, 2019
00004bba400ec459e9575ef6ce335061502f60e5ca748d9c4d840aacaf0c2120, Trojan, BAT, Qhost, Trojan.BAT.Qhost.vk, 2013
000f28ff719ac80388d329440581fb26a40362d42e48cbd7129612a4d660b792, AdWare, MSIL, DomaIQ, not-a-virus:AdWare.MSIL.DomaIQ.cldu, 2019
000bb07dcdaf37ac94df60d03fb00076e482c0b1467f606fb3f1750bd7e15ca3, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2010
000ab1670458e42a8ef0901c9118bc803a335414ec5481636bf977caec9ca74b, Trojan-Downloader, NSIS, Chindo, HEUR:Trojan-Downloader.NSIS.Chindo.gen, 2014
000779f7df3bd61553a3dcce9ec88f9606f73d22a3ec781a05d934e90daaa017, Trojan-PSW, Win32, QQPass, Trojan-PSW.Win32.QQPass.anbv, 2012
000a4fe5507d715f9af4cc4a666d61dba92dfcf69111a96f6cbf47ae777ecbf7, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2012
0009f1e6761bbb70a97b96ce628363fab81663c3b199d36169f5da438c9cfcc5, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014
000bbc216e31276aff607dbca05266b606610f5503a1432f38c8c23ba1ba19e5, Trojan, Win32, Adond, Trojan.Win32.Adond.nrip, 2014
000a5840b68ba67103e8147ec14b7f2dbca737aee1145dd5699cae23ed865f25, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
000da7a8bd3e2de4c8ac81451188a66078af19f15cabdf977052b8ea088d9da7, Trojan, Win32, FakeAV, UDS:Trojan.Win32.FakeAV.ctes, 2017
00005bd1fd7c3124a889708b1792f32f59003e159a9e00f5d565f9717722a249, Downloader, Win32, Morstar, not-a-virus:Downloader.Win32.Morstar.ewi, 2018
000f21b6af3eb4853b431a3610b9a104991f807220c7fa737928e4f7dbf52522, Worm, Win32, AutoRun, Worm.Win32.AutoRun.but, 2018
000e319aea55740b88bcb732c677d30a416aa50118aad2fd59a5771331ba3088, RiskTool, AndroidOS, Dnotua, HEUR:RiskTool.AndroidOS.Dnotua.anux, 2019
000842b1508cfd63c3b52a7564f9fc0e171550a535bc7fe2eb0b487db89f358e, AdWare, Win32, 4Shared, HEUR:AdWare.Win32.4Shared.gen, 2013
000a63d8fe3b0ec81bfbe1693d6b85aedf3e62f09aaf6c811ee81e0530700f93, Trojan, Win32, StartPage, Trojan.Win32.StartPage.umxd, 2013
000ec225ca0b2aca553c2ef1b390f96c722c73663b5fa35d3f6161a3c35a1b00, AdWare, Win32, MultiPlug, not-a-virus:AdWare.Win32.MultiPlug.ofod, 2013
00091a28defe07c82f570063cf800b08d4d3e05965671d61330f4900b55d3e94, Trojan-Downloader, Win32, Geral, Trojan-Downloader.Win32.Geral.ctg, 2009
00005ff72390b39b1f3d2a024914bd0a3e92ec02a81e2a372217b6bf09a8cf36, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2021
0004418dedb720a65693f830e176fdb403671351d18a923ebf8e511b2ccb53fd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019
000b1fa356857bb2024bf793f9ca3efc3d4f6d3737a4d52222a1af44f28bd948, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2015
00046b263b993b810626cb7e79295dc00b5194d5300e469a46c891e9597f812c, AdWare, Win32, Browext, not-a-virus:AdWare.Win32.Browext.gen, 2010
000e2a1f3dcf5dfceddb2bd05c397ba7903e188d420a9491dab6dbc188884366, 523f70cecaf0f5, 54000716, js, 523f70cecaf0f5.54000716.js, 2013
00068af114757d136d44abfa690c8e1e7740945ae9811f0caaecf3f49fe5fd66, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2014
000e3b981bee5e9031cb9d70cba10dd626880fc96352b955d2d24252fb20ecab, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2020
000be0e6c845cff20adc620dd010175ee341ee51d28104f12dae2cd7697b54d9, Packed, Win32, Krap, Packed.Win32.Krap.ae, 2014
000023d555729304db349228f2e49d1c89bcbea2e42f020c475af82fa9e6a367, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
0000d5be0b520d84c6f65b0fc42a72fd826ba8c56404cd3ebfc744ec8cf1295e, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019
000c5f184265631e899e8c819e55a5facab27a734f785e589b76dd81448937e1, AdWare, Win32, DealPly, HEUR:AdWare.Win32.DealPly.gen, 2010
000408957cc8223409a0d386fffbbee9af12b0678d00badf1d7d0e840ab602aa, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014
000cc4cddce61587e0bcbf092219132822924c075ea9b9dd0da812a81c65fb0c, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018
000aa891020c21f03b3e130f58460e4b9489df75b89a057849b10897f355a273, Worm, Win32, WBNA, Worm.Win32.WBNA.roc, 2012
000bc025ef14f827e23932383aa635f68959ceb264d1d409e1f63fdcb34ea161, Backdoor, Win32, LolBot, Backdoor.Win32.LolBot.bweb, 2012
000c4d6be6e69fc98a64382f5d924c749452e12297c8c9164a87d4f59a2a72c8, Trojan, Win32, Agent, Trojan.Win32.Agent.qwfejr, 2019
0001ee9127f660799bc643710db98690f6b7733e5b3b907b046444aa39e55336, b, dll, zgx, b.dll.zgx, 2013
0008230a41f616334a8c407e146ea92493dbcbe0c70848331405051bf02f0a25, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2013
0005e67ae960b98ad4c1eed3a6040217427b3e69b743ed13d3020745b04377c2, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018
000ea01d3a0fdf8f0af6d7db7847fc967178c10a1f4b3de6377c2930a54c3550, AdWare, Win32, Agent, not-a-virus:AdWare.Win32.Agent.aeph, 2020
000abb9192511cfad9381e02f610722cd889e4e4612c5a7fe78c2a958ee29888, AdWare, Win32, SoftPulse, VHO:AdWare.Win32.SoftPulse.gen, 2018
000b1e6e7d66c91fd56da73f68c645a4b24a95f3a47dbba2341c3349718b4d2c, Trojan-Downloader, JS, Iframe, Trojan-Downloader.JS.Iframe.czo, 2016
000d6f52ecbbb710b720cbea1ce9c286a2c04ca1863fd5f53a289a903036b09f, Trojan, Win32, VBKrypt, Trojan.Win32.VBKrypt.eg, 2013
0002374b2784f3ab46f480a44de33ee2719e1e3f7076828d545a9c4d1584c49e, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2015
000f95d2695b5056d07c143fd01a378182fd9fe0e55f588bdab01979d1ae5c90, Trojan, Win32, Buzus, Trojan.Win32.Buzus.xzif, 2018
0001d9c380a97098c0b6a13ba458c052d2fed8c973617ed269ac33d16c2c9471, Packed, Win32, Krap, Packed.Win32.Krap.ai, 2013
